commentId,commentText,publishedAt
Ugwx0eat_jFe77U-KKN4AaABAg,I think 3rd world war is going to happen Becox its the policy of west to make Asian countries always fighting With one another so they will become competitor free,2024-02-29T10:24:12Z
UgzqfOPCi_7YnNs_wst4AaABAg,BJP goverment is not less than a terrorist party,2024-02-29T10:21:55Z
UgxqEgs3mfmTUQkBBLh4AaABAg,pakistanis are terrorised by water! wtf is water terrorism lol,2024-02-29T10:18:24Z
UgyFfz2cxv5h8-hl53J4AaABAg,Simple answer Pakistan stop terrorism against India 😤😤😤😤😤,2024-02-29T10:14:49Z
Ugw5ooqZdCS6iG5Tmap4AaABAg,You stole children's water from their mouth on the name of fucking wastage,2024-02-29T10:12:56Z
Ugw0hS-tba2udqOp2i94AaABAg,India commits water terrorism with all neighboring countries is a fact.,2024-02-29T10:11:36Z
UgxDsPztD38e6ugW3up4AaABAg,what India is doing is called theft! Pakistan should use military might to stop this theft!!!,2024-02-29T10:00:04Z
UgxNsNjDEiAWb_Gtg9t4AaABAg,"Don't underestimate them 








They have JAZBA🤣🤣🤣",2024-02-29T09:52:22Z
UgwSa3wyhJlzVo_RAx54AaABAg,Water treaty should be reviewed as it was framed favourably to Pak,2024-02-29T09:51:34Z
Ugxu7ywpvoZmAtH-oyh4AaABAg,"Sir it is water jihadism indulged by jihadi pakistan, another form of fanaticism, mullaism, 😅?",2024-02-29T09:19:33Z
UgwSgDqjZbR2ixXTmgV4AaABAg,A Very few days left for the peace in India...🇵🇰,2024-02-29T09:11:39Z
UgxPxflyTlQFpoW52Z14AaABAg,Come and renegotiate if they are not interested scrap the treaty,2024-02-29T08:57:08Z
Ugwa3Z6SkgDbmzqDsId4AaABAg,"What about india at "" Farakka Dam""? 
Hippocrates",2024-02-29T08:47:29Z
Ugz8Yar_6FWnK6QIREF4AaABAg,Pakistan will get another aid from American funding for Water. 😂😂😂😂😂😂😂,2024-02-29T08:30:20Z
UgwD_PYOLJEX6Q9PHJB4AaABAg,Coming from a largest terrorist country making legacy in human terrorism,2024-02-29T08:14:02Z
Ugzg5Kg--rJoy8Qg9394AaABAg,"India uses its water resources
Pakistan -😡 don't fuck me daddy",2024-02-29T08:13:53Z
UgzswYGVXS9sixWJ7Y94AaABAg,Be strong and keep national interest first,2024-02-29T08:06:49Z
Ugwu2JQjzI1aBHI2quV4AaABAg,Yeah biggest terrorism than isis isi Al-Kheeda which kills and lives on blood rather than water they need to have brains before claiming something no wonder what if your begging even water you should be humble,2024-02-29T08:06:30Z
Ugw9TFUhrVNJ4FL_1t54AaABAg,Better late than never....🇮🇳👍🏼bharat govt is doing good👍🏼🤣😂😂.....,2024-02-29T08:04:49Z
UgzKjRZEtmV16_GYLbF4AaABAg,"""Water terrorism"" ? 😅😂 , oh please a country getting water  because of an unfair pact by Congress should not talk about water terrorism. Got indus river by begging.",2024-02-29T07:58:31Z
UgzwqVQ2NjjGZ5vrKCR4AaABAg,"Indus Water treaty has always beem in the favour of Pakistan, I still can't understand how Indian leaders agreed to it",2024-02-29T07:45:10Z
UgwcymZEXUhHoeB-KGh4AaABAg,Joker I was literally waiting for your video……but why you didn’t made video on your Pakistan situation 😂😂😂😂😂😂what’s going on in Pakistan politics 😂😂😂😂,2024-02-21T19:19:41Z
UgzAy5YAhs-Qvjtq-mZ4AaABAg,Isn't there any intention to reduce carbon foot print and switch to renewable energy? It's a transition that must be made and in a country like India solar energy can be tapped a lot.,2024-02-21T15:38:59Z
Ugx9QlzatNvlGFS72Ct4AaABAg,This subject importing,2024-02-21T15:37:57Z
UgyhDfjOHVUJ9nB8qwR4AaABAg,India should have screwed Qatar but our ppl & energy need put us on the back foot. Pure blackmail. Karma will bite back.,2024-02-21T12:03:02Z
Ugz_-KN1bK9u5nphhqZ4AaABAg,Appreciated,2024-02-20T18:23:11Z
UgzgMZtg1wAAdhOdW1R4AaABAg,Srimati Sharma is in my humble opinion the best new reporter in the Universe.  She is truly gifted .,2024-02-20T13:25:53Z
Ugx_jpaeObQV-E9ATLB4AaABAg,"South Indian are punjab, and kashmir and mani Pur should be free from Gujrati Hindus.",2024-02-19T10:33:29Z
Ugwqr51m41AOnZQmYPx4AaABAg,We have good relationships with Qatar and we must strengthen it further.,2024-02-18T16:16:14Z
UgxeysxWHkK6zM4--uZ4AaABAg,"Awesome insight and it also signifies that at last, India is measuring up to its own potentialities and playing that high power strategic game of chess with moves and counter moves....just imagine, India was not even in the game a decade ago!",2024-02-18T15:29:10Z
UgzwjjghGhzKHc2vzud4AaABAg,That guy is tall,2024-02-18T11:32:23Z
UgzAomyWFj3z8vl71Bl4AaABAg,"Palki, you are the best news anchor in the whole world",2024-02-18T10:43:10Z
UgyFHUFqaEYGYxBLYDd4AaABAg,Why call the emir bad boy??,2024-02-18T09:46:21Z
UgylkAX_KXNnVgfYSiR4AaABAg,"With LS'24 win uncertain, the gujju, like his ilk, just threw money to better his chances.",2024-02-18T08:58:47Z
UgyHUTYzdF68joXsZ7B4AaABAg,"The Reason why the Indian Sailors were put in Jail in Qatar 🇶🇦 was because of the BJP Spokesperson Nupur Sharma who acted with Hostility against Muslims in INDIA 🇮🇳 and the World and Statements against their Prophet when Modiji was the Prime Minister of India 🇮🇳. 
BJP tried Protecting Nupur Sharma and her Statements in Indian 🇮🇳 Media and the Press.
BJP as a Party became very Unpopular in the Gulf Countries. 
Modiji's & BJP'S Tactics didn't Work & they the BJP had to Sack Nupur Sharma & Denounce Statements made  by Nupur Sharma. 
I don't understand the Outreach Drama. 
Indian Government was very Friendly with the Qatar 🇶🇦 Government many Decades before Modiji became Prime Minister of India 🇮🇳.",2024-02-18T06:43:36Z
Ugxcib7ycEJlGiitLqJ4AaABAg,"they didnt release them due to some kind of change of heart but due to indias diplomatic pressure for ex, delay in medicine,fruit,vegetable consignment,diversification of gas purchase etc.",2024-02-18T04:51:26Z
Ugxht5R9RNbYCtX9rFZ4AaABAg,"Qatar is a jihadi state , it supports, Taliban, Hamas and ISIS openly…it’s not India’s friend  or strategic partner …it’s so shameful we have 6 lakh Indian workers there …height of desperation and shows how India has failed on the job creation front",2024-02-18T02:56:32Z
Ugy3H9_zkRWIDuuTXXF4AaABAg,Thankyou Palki🙏🙏🙏excellent reporting🙏🙏🙏🙏🙏,2024-02-18T00:45:52Z
Ugz-mwNamnrVjTdlLkp4AaABAg,Shame to Arab countries for receiving butcher of Gujarat.,2024-02-17T18:06:44Z
UgyBP1AisjC-uMzR4NV4AaABAg,Boycott Indian Products. India Has Destroyed Bangladesh Democracy.,2024-02-17T17:22:37Z
Ugx-eq3L1uA_VzcuaNZ4AaABAg,Well played boys 🙏,2024-02-17T16:09:06Z
UgxPn45W1GlqkCU9r7V4AaABAg,Palki..first class words and reporting. Keep up good works.,2024-02-17T13:32:30Z
UgwNimYpwiG4Yp6IFSR4AaABAg,That Rudrax mala in hand is awesome,2024-02-17T13:09:19Z
UgyNNu0tJ-AiwloUkg54AaABAg,Kudos to PM on the extraordinary display of diplomacy ❤,2024-02-17T11:32:14Z
UgzbR7B-jNqqWGoSF4h4AaABAg,"@palki ma'am, 
I am very  very big fan of yours. 
Your  confidence ,knowledge and the way you present  your news. 
I always  learn and gain knowledge  through  your videos 
So thank you  ma'am 🎉❤",2024-02-17T11:27:09Z
Ugz7iV9PRj-y3Vp7PxV4AaABAg,"What a reporting, Kudos Palki",2024-02-17T09:50:58Z
UgwrLr7x2lFh63TkVkl4AaABAg,Modiji is respected evefy where. A brand by himself,2024-02-17T07:53:20Z
Ugyd6SRKc4NbAheHEbF4AaABAg,"""Humanity and Rajdharma"" are the best combination of a person who rules. These shows, true leader and love for his country.Thank you 🙏🙏 to all these people of World 🌍",2024-02-17T05:43:58Z
UgztLNfbLyXz7W9sLat4AaABAg,"Modi ji policies are unbelievable 
All are workable in full fledge ❤",2024-02-17T04:33:37Z
UgyFFihs30dsteVD9sZ4AaABAg,India supports terroriSts...shame on you modi dogg,2024-02-17T03:16:08Z
Ugxh4GUFDlLWACtrBW54AaABAg,70$billion deal with qatar saved prisoners,2024-02-17T02:08:08Z
Ugy2exGUmvVO9C_qX-l4AaABAg,Please respond with your opinions on Thumbnail,2024-02-17T02:06:46Z
UgyANfXbAIQFvu5MzuN4AaABAg,Modiji and Palki...two stars from Bharat❤😂,2024-02-16T22:01:06Z
UgzZvUD9RLYRxm4WFCN4AaABAg,Nice story telling Palki Ji - way to go,2024-02-16T18:04:09Z
UgyCr8dFU-qMkVXlXa94AaABAg,Sher hai sher,2024-02-16T17:11:23Z
